2020中国大学排行榜(完整榜单)
校友会大学排名 软科大学排名 武书连大学排名 QS大学排名
泰晤士 ESI Usnews 更多排名
名次 学校名称 全国排名 星级排名 办学层次
52 南昌大学共青学院 133 2★ 区域高水平独立学院
53 河北地质大学华信学院 135 2★ 区域高水平独立学院
54 南通大学杏林学院 139 2★ 区域高水平独立学院
55 北京航空航天大学北海学院 152 3★ 区域一流独立学院
56 广西民族大学相思湖学院 153 2★ 区域高水平独立学院
57 绍兴文理学院元培学院 154 2★ 区域高水平独立学院
58 江苏大学京江学院 155 2★ 区域高水平独立学院
59 长安大学兴华学院 158 2★ 区域高水平独立学院
59 中国矿业大学银川学院 158 1★ 区域知名独立学院
61 天津财经大学珠江学院 160 1★ 区域知名独立学院
62 南京财经大学红山学院 163 1★ 区域知名独立学院
63 南京师范大学中北学院 169 1★ 区域知名独立学院
64 温州大学瓯江学院 172 1★ 区域知名独立学院
65 阜阳师范大学信息工程学院 175 1★ 区域知名独立学院
66 长春大学旅游学院 178 1★ 区域知名独立学院
67 贵州民族大学人文科技学院 181 1★ 区域知名独立学院
68 延安大学西安创新学院 183 1★ 区域知名独立学院
69 江西农业大学南昌商学院 185 1★ 区域知名独立学院
70 安徽农业大学经济技术学院 188 1★ 区域知名独立学院
71 南宁师范大学师园学院 189 1★ 区域知名独立学院
72 天津理工大学中环信息学院 190 1★ 区域知名独立学院
73 苏州大学应用技术学院 194 1★ 区域知名独立学院
74 宁夏大学新华学院 195 1★ 区域知名独立学院
75 浙江农林大学暨阳学院 197 1★ 区域知名独立学院
76 南京审计大学金审学院 198 1★ 区域知名独立学院
77 湖南科技大学潇湘学院 204 1★ 区域知名独立学院
78 江苏科技大学苏州理工学院 208 1★ 区域知名独立学院
79 吉首大学张家界学院 214 1★ 区域知名独立学院
80 聊城大学东昌学院 217 1★ 区域知名独立学院
81 青海大学昆仑学院 218 1★ 区域知名独立学院
82 内蒙古大学创业学院 219 1★ 区域知名独立学院
83 南京医科大学康达学院 220 1★ 区域知名独立学院
84 常州大学怀德学院 222 1★ 区域知名独立学院
85 湖南文理学院芙蓉学院 224 1★ 区域知名独立学院
86 济南大学泉城学院 226 1★ 区域知名独立学院
87 南京中医药大学翰林学院 227 1★ 区域知名独立学院
88 青岛农业大学海都学院 243 1★ 区域知名独立学院
89 山东科技大学泰山科技学院 246 1★ 区域知名独立学院
